country,year,avg_temp_c
Uganda,2020,23.171354
Uganda,2021,23.605705
Uganda,2022,23.55169
Uganda,2023,23.970055
US Naval Base Guantanamo Bay,2020,
US Naval Base Guantanamo Bay,2021,
US Naval Base Guantanamo Bay,2022,
US Naval Base Guantanamo Bay,2023,
Cuba,2020,26.164482
Cuba,2021,25.88556
Cuba,2022,25.841858
Cuba,2023,26.29354
Honduras,2020,24.24893
Honduras,2021,24.099974
Honduras,2022,23.794052
Honduras,2023,24.611631
Ecuador,2020,21.276993
Ecuador,2021,20.978506
Ecuador,2022,20.84818
Ecuador,2023,21.710745
Colombia,2020,24.52519
Colombia,2021,24.102844
Colombia,2022,23.946974
Colombia,2023,24.680723
Paraguay,2020,24.83156
Paraguay,2021,24.09398
Paraguay,2022,24.015448
Paraguay,2023,25.296938
Brazilian Island,2020,
Brazilian Island,2021,
Brazilian Island,2022,
Brazilian Island,2023,
Portugal,2020,15.95124
Portugal,2021,15.4244585
Portugal,2022,16.365503
Portugal,2023,16.269053
Moldova,2020,12.181458
Moldova,2021,10.144955
Moldova,2022,11.357159
Moldova,2023,12.371502
Turkmenistan,2020,16.442936
Turkmenistan,2021,17.724455
Turkmenistan,2022,17.643763
Turkmenistan,2023,18.38147
Jordan,2020,20.331833
Jordan,2021,20.62866
Jordan,2022,20.07945
Jordan,2023,20.570896
Nepal,2020,12.914035
Nepal,2021,13.510312
Nepal,2022,13.652286
Nepal,2023,13.614938
Lesotho,2020,11.6838
Lesotho,2021,11.316457
Lesotho,2022,11.58291
Lesotho,2023,11.680168
Cameroon,2020,25.173607
Cameroon,2021,25.138147
Cameroon,2022,24.782331
Cameroon,2023,25.21962
Gabon,2020,25.273443
Gabon,2021,25.089317
Gabon,2022,24.938385
Gabon,2023,25.15463
Niger,2020,27.915346
Niger,2021,28.192102
Niger,2022,27.351667
Niger,2023,28.376688
Burkina Faso,2020,28.98748
Burkina Faso,2021,29.383362
Burkina Faso,2022,28.591406
Burkina Faso,2023,29.36233
Togo,2020,27.427483
Togo,2021,27.749199
Togo,2022,27.01831
Togo,2023,27.542414
Ghana,2020,27.963995
Ghana,2021,28.11441
Ghana,2022,27.500032
Ghana,2023,27.970495
Guinea-Bissau,2020,28.09584
Guinea-Bissau,2021,28.05906
Guinea-Bissau,2022,27.651812
Guinea-Bissau,2023,27.953203
Gibraltar,2020,
Gibraltar,2021,
Gibraltar,2022,
Gibraltar,2023,
United States of America,2020,8.397437
United States of America,2021,8.283776
United States of America,2022,8.076122
United States of America,2023,8.526227
Canada,2020,-5.555592
Canada,2021,-4.749677
Canada,2022,-5.556164
Canada,2023,-3.8090007
Mexico,2020,21.546904
Mexico,2021,21.20518
Mexico,2022,20.924267
Mexico,2023,21.638681
Belize,2020,26.45799
Belize,2021,26.283743
Belize,2022,25.982683
Belize,2023,26.620705
Panama,2020,25.280663
Panama,2021,24.949364
Panama,2022,24.783867
Panama,2023,25.603708
Venezuela,2020,25.980474
Venezuela,2021,25.230034
Venezuela,2022,25.286814
Venezuela,2023,26.168846
Papua New Guinea,2020,23.979828
Papua New Guinea,2021,23.96102
Papua New Guinea,2022,24.158821
Papua New Guinea,2023,23.942795
Egypt,2020,23.124323
Egypt,2021,23.590256
Egypt,2022,22.919762
Egypt,2023,23.80996
Yemen,2020,25.86743
Yemen,2021,25.826973
Yemen,2022,25.874418
Yemen,2023,26.60382
Mauritania,2020,28.458275
Mauritania,2021,28.472933
Mauritania,2022,28.07798
Mauritania,2023,28.511766
Equatorial Guinea,2020,24.583242
Equatorial Guinea,2021,24.409056
Equatorial Guinea,2022,24.2077
Equatorial Guinea,2023,24.527618
Gambia,2020,28.350327
Gambia,2021,28.23239
Gambia,2022,27.822794
Gambia,2023,28.32991
Hong Kong S.A.R.,2020,23.698027
Hong Kong S.A.R.,2021,23.911415
Hong Kong S.A.R.,2022,23.245058
Hong Kong S.A.R.,2023,23.783537
Vatican,2020,
Vatican,2021,
Vatican,2022,
Vatican,2023,
Northern Cyprus,2020,20.974382
Northern Cyprus,2021,21.183811
Northern Cyprus,2022,20.675919
Northern Cyprus,2023,21.07734
Cyprus No Mans Area,2020,
Cyprus No Mans Area,2021,
Cyprus No Mans Area,2022,
Cyprus No Mans Area,2023,
Siachen Glacier,2020,-17.379229
Siachen Glacier,2021,-17.33476
Siachen Glacier,2022,-16.596659
Siachen Glacier,2023,-16.89496
Baykonur Cosmodrome,2020,10.339328
Baykonur Cosmodrome,2021,11.004758
Baykonur Cosmodrome,2022,11.009396
Baykonur Cosmodrome,2023,12.046082
Akrotiri Sovereign Base Area,2020,
Akrotiri Sovereign Base Area,2021,
Akrotiri Sovereign Base Area,2022,
Akrotiri Sovereign Base Area,2023,
Southern Patagonian Ice Field,2020,-1.031901
Southern Patagonian Ice Field,2021,-0.32116953
Southern Patagonian Ice Field,2022,-1.2206802
Southern Patagonian Ice Field,2023,-1.3818563
Bir Tawil,2020,27.582031
Bir Tawil,2021,28.482054
Bir Tawil,2022,27.996687
Bir Tawil,2023,28.660217
Antarctica,2020,-36.96095
Antarctica,2021,-38.095707
Antarctica,2022,-37.398315
Antarctica,2023,-37.205334
Australia,2020,22.365433
Australia,2021,21.749918
Australia,2022,21.65943
Australia,2023,22.231852
Greenland,2020,-19.221512
Greenland,2021,-17.710852
Greenland,2022,-18.194176
Greenland,2023,-18.445837
Fiji,2020,25.07582
Fiji,2021,25.020607
Fiji,2022,25.11947
Fiji,2023,24.834618
New Zealand,2020,10.862048
New Zealand,2021,11.068447
New Zealand,2022,11.3329315
New Zealand,2023,11.098809
New Caledonia,2020,22.873499
New Caledonia,2021,22.757257
New Caledonia,2022,23.493711
New Caledonia,2023,22.38413
Madagascar,2020,23.020605
Madagascar,2021,22.973877
Madagascar,2022,22.618628
Madagascar,2023,23.221457
Philippines,2020,26.447433
Philippines,2021,26.24471
Philippines,2022,26.214808
Philippines,2023,26.438025
Sri Lanka,2020,26.990997
Sri Lanka,2021,26.60321
Sri Lanka,2022,26.445902
Sri Lanka,2023,26.877884
Curaçao,2020,
Curaçao,2021,
Curaçao,2022,
Curaçao,2023,
Aruba,2020,27.11084
Aruba,2021,26.79374
Aruba,2022,26.738874
Aruba,2023,27.271708
The Bahamas,2020,26.110418
The Bahamas,2021,25.90348
The Bahamas,2022,26.012907
The Bahamas,2023,26.367418
Turks and Caicos Islands,2020,
Turks and Caicos Islands,2021,
Turks and Caicos Islands,2022,
Turks and Caicos Islands,2023,
Taiwan,2020,20.945116
Taiwan,2021,20.6766
Taiwan,2022,20.475143
Taiwan,2023,20.728735
Japan,2020,12.564064
Japan,2021,12.569779
Japan,2022,12.508704
Japan,2023,13.258721
Saint Pierre and Miquelon,2020,
Saint Pierre and Miquelon,2021,
Saint Pierre and Miquelon,2022,
Saint Pierre and Miquelon,2023,
Iceland,2020,1.589723
Iceland,2021,1.9024091
Iceland,2022,1.7240375
Iceland,2023,1.5511719
Pitcairn Islands,2020,
Pitcairn Islands,2021,
Pitcairn Islands,2022,
Pitcairn Islands,2023,
French Polynesia,2020,25.545807
French Polynesia,2021,25.342264
French Polynesia,2022,24.941254
French Polynesia,2023,25.61704
French Southern and Antarctic Lands,2020,3.0670824
French Southern and Antarctic Lands,2021,3.1925523
French Southern and Antarctic Lands,2022,3.2108667
French Southern and Antarctic Lands,2023,3.9594586
Seychelles,2020,26.94165
Seychelles,2021,26.501585
Seychelles,2022,26.388613
Seychelles,2023,26.792135
Kiribati,2020,26.421549
Kiribati,2021,25.996864
Kiribati,2022,25.858992
Kiribati,2023,27.049377
Marshall Islands,2020,
Marshall Islands,2021,
Marshall Islands,2022,
Marshall Islands,2023,
Trinidad and Tobago,2020,26.494074
Trinidad and Tobago,2021,26.170042
Trinidad and Tobago,2022,26.083567
Trinidad and Tobago,2023,26.695276
Grenada,2020,
Grenada,2021,
Grenada,2022,
Grenada,2023,
Saint Vincent and the Grenadines,2020,26.706705
Saint Vincent and the Grenadines,2021,26.535927
Saint Vincent and the Grenadines,2022,26.35118
Saint Vincent and the Grenadines,2023,26.912659
Barbados,2020,
Barbados,2021,
Barbados,2022,
Barbados,2023,
Saint Lucia,2020,26.856527
Saint Lucia,2021,26.759315
Saint Lucia,2022,26.49929
Saint Lucia,2023,27.042215
Dominica,2020,
Dominica,2021,
Dominica,2022,
Dominica,2023,
United States Minor Outlying Islands,2020,
United States Minor Outlying Islands,2021,
United States Minor Outlying Islands,2022,
United States Minor Outlying Islands,2023,
Montserrat,2020,
Montserrat,2021,
Montserrat,2022,
Montserrat,2023,
Antigua and Barbuda,2020,26.460611
Antigua and Barbuda,2021,26.280718
Antigua and Barbuda,2022,26.170677
Antigua and Barbuda,2023,26.694235
Saint Kitts and Nevis,2020,
Saint Kitts and Nevis,2021,
Saint Kitts and Nevis,2022,
Saint Kitts and Nevis,2023,
United States Virgin Islands,2020,26.711264
United States Virgin Islands,2021,26.514116
United States Virgin Islands,2022,26.372988
United States Virgin Islands,2023,26.941793
Saint Barthelemy,2020,
Saint Barthelemy,2021,
Saint Barthelemy,2022,
Saint Barthelemy,2023,
Puerto Rico,2020,25.6411
Puerto Rico,2021,25.463037
Puerto Rico,2022,25.267479
Puerto Rico,2023,25.863085
Anguilla,2020,26.483072
Anguilla,2021,26.297483
Anguilla,2022,26.187605
Anguilla,2023,26.73232
British Virgin Islands,2020,
British Virgin Islands,2021,
British Virgin Islands,2022,
British Virgin Islands,2023,
Jamaica,2020,26.533476
Jamaica,2021,26.271063
Jamaica,2022,26.1286
Jamaica,2023,26.734177
Cayman Islands,2020,27.309082
Cayman Islands,2021,27.130653
Cayman Islands,2022,27.112572
Cayman Islands,2023,27.613504
Bermuda,2020,
Bermuda,2021,
Bermuda,2022,
Bermuda,2023,
Heard Island and McDonald Islands,2020,1.8763021
Heard Island and McDonald Islands,2021,1.8140844
Heard Island and McDonald Islands,2022,1.7515692
Heard Island and McDonald Islands,2023,2.2373657
Saint Helena,2020,21.610025
Saint Helena,2021,21.651487
Saint Helena,2022,21.66677
Saint Helena,2023,21.623596
Mauritius,2020,23.450304
Mauritius,2021,23.722235
Mauritius,2022,23.310434
Mauritius,2023,24.068312
Comoros,2020,25.345621
Comoros,2021,25.14351
Comoros,2022,24.918642
Comoros,2023,25.643778
São Tomé and Principe,2020,26.028402
São Tomé and Principe,2021,26.12813
São Tomé and Principe,2022,25.753847
São Tomé and Principe,2023,26.105448
Cabo Verde,2020,23.285116
Cabo Verde,2021,22.915403
Cabo Verde,2022,23.086
Cabo Verde,2023,23.88743
Malta,2020,
Malta,2021,
Malta,2022,
Malta,2023,
Jersey,2020,
Jersey,2021,
Jersey,2022,
Jersey,2023,
Guernsey,2020,
Guernsey,2021,
Guernsey,2022,
Guernsey,2023,
Isle of Man,2020,10.611328
Isle of Man,2021,10.499469
Isle of Man,2022,11.133568
Isle of Man,2023,11.229878
Aland,2020,8.861816
Aland,2021,7.3588433
Aland,2022,7.886823
Aland,2023,7.051168
Faroe Islands,2020,7.2473636
Faroe Islands,2021,7.2099824
Faroe Islands,2022,7.535065
Faroe Islands,2023,7.3000283
Indian Ocean Territories,2020,
Indian Ocean Territories,2021,
Indian Ocean Territories,2022,
Indian Ocean Territories,2023,
British Indian Ocean Territory,2020,
British Indian Ocean Territory,2021,
British Indian Ocean Territory,2022,
British Indian Ocean Territory,2023,
Singapore,2020,
Singapore,2021,
Singapore,2022,
Singapore,2023,
Norfolk Island,2020,
Norfolk Island,2021,
Norfolk Island,2022,
Norfolk Island,2023,
Cook Islands,2020,24.685709
Cook Islands,2021,24.809526
Cook Islands,2022,24.696394
Cook Islands,2023,24.274475
Tonga,2020,
Tonga,2021,
Tonga,2022,
Tonga,2023,
Wallis and Futuna,2020,
Wallis and Futuna,2021,
Wallis and Futuna,2022,
Wallis and Futuna,2023,
Samoa,2020,25.574219
Samoa,2021,25.270498
Samoa,2022,25.103294
Samoa,2023,25.555758
Solomon Islands,2020,26.582558
Solomon Islands,2021,26.444254
Solomon Islands,2022,26.568785
Solomon Islands,2023,26.523943
Tuvalu,2020,
Tuvalu,2021,
Tuvalu,2022,
Tuvalu,2023,
Maldives,2020,
Maldives,2021,
Maldives,2022,
Maldives,2023,
Nauru,2020,
Nauru,2021,
Nauru,2022,
Nauru,2023,
Federated States of Micronesia,2020,
Federated States of Micronesia,2021,
Federated States of Micronesia,2022,
Federated States of Micronesia,2023,
South Georgia and the Islands,2020,-0.6915509
South Georgia and the Islands,2021,0.20422108
South Georgia and the Islands,2022,0.08052603
South Georgia and the Islands,2023,0.19721816
Falkland Islands,2020,7.121964
Falkland Islands,2021,7.5227304
Falkland Islands,2022,6.8350215
Falkland Islands,2023,6.728226
Vanuatu,2020,25.269892
Vanuatu,2021,25.285088
Vanuatu,2022,25.696274
Vanuatu,2023,25.138433
Niue,2020,
Niue,2021,
Niue,2022,
Niue,2023,
American Samoa,2020,26.994467
American Samoa,2021,26.756304
American Samoa,2022,26.570253
American Samoa,2023,27.005758
Palau,2020,
Palau,2021,
Palau,2022,
Palau,2023,
Guam,2020,
Guam,2021,
Guam,2022,
Guam,2023,
Northern Mariana Islands,2020,
Northern Mariana Islands,2021,
Northern Mariana Islands,2022,
Northern Mariana Islands,2023,
Bahrain,2020,26.6014
Bahrain,2021,27.035276
Bahrain,2022,26.528913
Bahrain,2023,26.894918
Coral Sea Islands,2020,
Coral Sea Islands,2021,
Coral Sea Islands,2022,
Coral Sea Islands,2023,
Spratly Islands,2020,
Spratly Islands,2021,
Spratly Islands,2022,
Spratly Islands,2023,
Clipperton Island,2020,
Clipperton Island,2021,
Clipperton Island,2022,
Clipperton Island,2023,
Macao S.A.R,2020,
Macao S.A.R,2021,
Macao S.A.R,2022,
Macao S.A.R,2023,
Ashmore and Cartier Islands,2020,
Ashmore and Cartier Islands,2021,
Ashmore and Cartier Islands,2022,
Ashmore and Cartier Islands,2023,
Bajo Nuevo Bank (Petrel Is.),2020,
Bajo Nuevo Bank (Petrel Is.),2021,
Bajo Nuevo Bank (Petrel Is.),2022,
Bajo Nuevo Bank (Petrel Is.),2023,
Serranilla Bank,2020,
Serranilla Bank,2021,
Serranilla Bank,2022,
Serranilla Bank,2023,
Scarborough Reef,2020,
Scarborough Reef,2021,
Scarborough Reef,2022,
Scarborough Reef,2023,
